date,experiment,model,rmse_cv_mean,rmse_cv_std,dataset_version,dataset_shape,target_variable,features_cat,features_num,random_state,n_folds,rmse_cv,r2_score_cv,rmsle_cv,mape_cv,evs_cv
Wed Oct 19 19:53:35 2022,dataset cleanerd | models not-tuned | important features,LinearRegression(),15.758,0.18,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator']","['engine_power', 'mileage']",0,4,[15.94372013 15.58772754 15.56750682 15.93161577],[0.6903445  0.6812899  0.73135975 0.70315081],[0.15321693 0.15331082 0.14803855 0.15622009],[0.10992386 0.10897214 0.10940086 0.1117252 ],[0.69059186 0.68144268 0.73135982 0.70317353]
Wed Oct 19 19:53:37 2022,dataset cleanerd | models not-tuned | important features,"Lasso(alpha=0.0001, random_state=0)",15.757,0.18,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator']","['engine_power', 'mileage']",0,4,[15.943202   15.58788069 15.56776006 15.93106612],[0.69036462 0.68128364 0.73135101 0.70317129],[0.15321257 0.15331323 0.14804063 0.15621612],[0.10991963 0.1089727  0.1094033  0.11172116],[0.69061218 0.68143642 0.73135108 0.70319398]
Wed Oct 19 19:53:39 2022,dataset cleanerd | models not-tuned | important features,"ElasticNet(alpha=0.001, l1_ratio=0.15, random_state=0)",15.747,0.153,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator']","['engine_power', 'mileage']",0,4,[15.90308482 15.6082557  15.58099188 15.89720593],[0.6919209  0.6804499  0.73089414 0.70443172],[0.15292342 0.15354862 0.14815594 0.15596929],[0.10965273 0.10911571 0.10956209 0.11148444],[0.69219104 0.68061453 0.73089418 0.70445203]
Wed Oct 19 19:54:03 2022,dataset cleanerd | models not-tuned | important features,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.9, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, gamma=None,
             gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=10,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, n_estimators=250, n_jobs=None,
             num_parallel_tree=None, predictor=None, random_state=0,
             reg_alpha=None, reg_lambda=None, ...)",13.267,0.262,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator']","['engine_power', 'mileage']",0,4,[13.15792152 13.49395055 12.88843068 13.52948325],[0.78910122 0.76115924 0.81586641 0.78591874],[0.13044171 0.13978896 0.12068621 0.13066626],[0.0869213  0.09215619 0.08328941 0.09033678],[0.78915839 0.76116516 0.81615058 0.78603303]
Wed Oct 19 19:56:13 2022,dataset cleanerd | models not-tuned | important features,"RandomForestRegressor(max_depth=25, min_samples_split=4, n_estimators=300,
                      random_state=0)",13.983,0.185,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator']","['engine_power', 'mileage']",0,4,[13.81553054 14.03332724 13.81898817 14.26401972],[0.76749376 0.74168388 0.78831726 0.76204212],[0.13395974 0.14385847 0.12948251 0.1395864 ],[0.09176463 0.09572707 0.09066993 0.09615205],[0.76769845 0.74172458 0.78897344 0.7623429 ]
Wed Oct 19 20:22:58 2022,dataset cleanerd | models not-tuned | all features,LinearRegression(),15.195,0.15,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator', 'paint_color_', 'fuel_', 'winter_tires']","['engine_power', 'mileage']",0,4,[15.25266085 15.0578542  15.05397129 15.4140766 ],[0.71660596 0.70258944 0.74879105 0.72212386],[0.14428101 0.14629382 0.14281212 0.15089154],[0.10415656 0.10392573 0.10590211 0.1082442 ],[0.71698056 0.70264414 0.74879162 0.7222616 ]
Wed Oct 19 20:23:01 2022,dataset cleanerd | models not-tuned | all features,"Lasso(alpha=0.0001, random_state=0)",15.195,0.15,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator', 'paint_color_', 'fuel_', 'winter_tires']","['engine_power', 'mileage']",0,4,[15.25267821 15.05768513 15.05434114 15.41353789],[0.71660532 0.70259612 0.7487787  0.72214329],[0.14428117 0.14629531 0.14281887 0.15088704],[0.10415301 0.10392414 0.10590491 0.10823752],[0.71698013 0.7026509  0.74877928 0.72228096]
Wed Oct 19 20:23:02 2022,dataset cleanerd | models not-tuned | all features,"ElasticNet(alpha=0.001, l1_ratio=0.15, random_state=0)",15.186,0.137,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator', 'paint_color_', 'fuel_', 'winter_tires']","['engine_power', 'mileage']",0,4,[15.23207936 15.04917181 15.07166101 15.38936084],[0.71737025 0.70293231 0.74820031 0.72301427],[0.14430315 0.1465504  0.14335879 0.15066067],[0.10395556 0.10403163 0.10610997 0.10783906],[0.71778121 0.70299831 0.74820051 0.72315034]
Wed Oct 19 20:23:25 2022,dataset cleanerd | models not-tuned | all features,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.9, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, gamma=None,
             gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05, max_bin=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=10,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, n_estimators=250, n_jobs=None,
             num_parallel_tree=None, predictor=None, random_state=0,
             reg_alpha=None, reg_lambda=None, ...)",12.787,0.236,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator', 'paint_color_', 'fuel_', 'winter_tires']","['engine_power', 'mileage']",0,4,[12.48228556 13.05411358 12.63554867 12.9768434 ],[0.81020371 0.77647558 0.82302124 0.80305074],[0.12243594 0.13246004 0.11766169 0.12558994],[0.08286734 0.08797665 0.08180799 0.08676513],[0.81029096 0.77647957 0.82354607 0.80318595]
Wed Oct 19 20:23:25 2022,dataset cleanerd | models tuned | all features,"RandomForestRegressor(max_depth=12, min_samples_leaf=4, min_samples_split=4,
                      n_estimators=300, random_state=0)",14.181,0.135,../data/get_around_pricing_project_clean.csv,"(4655, 31)",rental_price_per_day,"['model_key_', 'fuel_', 'paint_color_', 'car_type', 'private_parking_available', 'has_gps', 'has_air_conditioning', 'automatic_car', 'has_getaround_connect', 'has_speed_regulator', 'winter_tires']","['mileage', 'engine_power']",0,4,[14.09747925 14.05169891 14.17461658 14.40202275],[0.7579069  0.74100709 0.77728186 0.75741541],[0.1357634  0.14082991 0.13200629 0.14207114],[0.09275749 0.09611192 0.09364774 0.09877713],[0.75797756 0.74103192 0.77730596 0.75783031]
Thu Oct 20 00:31:59 2022,dataset cleanerd | models tuned | all features,LinearRegression(),15.195,0.15,../data/get_around_pricing_project_clean.csv,"(4655, 31)",rental_price_per_day,"['model_key_', 'fuel_', 'paint_color_', 'car_type', 'private_parking_available', 'has_gps', 'has_air_conditioning', 'automatic_car', 'has_getaround_connect', 'has_speed_regulator', 'winter_tires']","['mileage', 'engine_power']",0,4,[15.25266084 15.05785415 15.05397129 15.4140766 ],[0.71660596 0.70258944 0.74879105 0.72212386],[0.14428101 0.14629381 0.14281212 0.15089154],[0.10415656 0.10392573 0.10590211 0.1082442 ],[0.71698056 0.70264414 0.74879162 0.7222616 ]
Thu Oct 20 00:32:02 2022,dataset cleanerd | models tuned | all features,"Lasso(alpha=0.0001, random_state=0)",15.195,0.15,../data/get_around_pricing_project_clean.csv,"(4655, 31)",rental_price_per_day,"['model_key_', 'fuel_', 'paint_color_', 'car_type', 'private_parking_available', 'has_gps', 'has_air_conditioning', 'automatic_car', 'has_getaround_connect', 'has_speed_regulator', 'winter_tires']","['mileage', 'engine_power']",0,4,[15.25267822 15.05768514 15.0543417  15.41353779],[0.71660532 0.70259612 0.74877868 0.72214329],[0.14428117 0.14629531 0.14281887 0.15088704],[0.10415301 0.10392414 0.10590491 0.10823752],[0.71698013 0.7026509  0.74877926 0.72228096]
Thu Oct 20 00:32:03 2022,dataset cleanerd | models tuned | all features,"ElasticNet(alpha=0.001, l1_ratio=0.15, random_state=0)",15.186,0.137,../data/get_around_pricing_project_clean.csv,"(4655, 31)",rental_price_per_day,"['model_key_', 'fuel_', 'paint_color_', 'car_type', 'private_parking_available', 'has_gps', 'has_air_conditioning', 'automatic_car', 'has_getaround_connect', 'has_speed_regulator', 'winter_tires']","['mileage', 'engine_power']",0,4,[15.23207932 15.04917176 15.07166121 15.38936084],[0.71737026 0.70293232 0.74820031 0.72301427],[0.14430315 0.1465504  0.1433588  0.15066067],[0.10395556 0.10403163 0.10610997 0.10783906],[0.71778122 0.70299831 0.74820051 0.72315034]
Thu Oct 20 00:32:07 2022,dataset cleanerd | models tuned | all features,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.9, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, gamma=None,
             gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=4,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, n_estimators=250, n_jobs=None,
             num_parallel_tree=None, predictor=None, random_state=0,
             reg_alpha=None, reg_lambda=None, ...)",12.819,0.152,../data/get_around_pricing_project_clean.csv,"(4655, 31)",rental_price_per_day,"['model_key_', 'fuel_', 'paint_color_', 'car_type', 'private_parking_available', 'has_gps', 'has_air_conditioning', 'automatic_car', 'has_getaround_connect', 'has_speed_regulator', 'winter_tires']","['mileage', 'engine_power']",0,4,[12.56786222 12.88402938 12.8499472  12.97449152],[0.80759236 0.7822623  0.81696437 0.80312212],[0.12191426 0.13012139 0.11972194 0.12647398],[0.08357087 0.08755825 0.08560729 0.08885413],[0.80763173 0.78226961 0.8171566  0.80345983]
Thu Oct 20 00:32:07 2022,dataset cleanerd | models not-tuned | all features,"RandomForestRegressor(max_depth=25, min_samples_split=4, n_estimators=300,
                      random_state=0)",13.561,0.162,../data/get_around_pricing_project_clean.csv,"(4655, 24)",rental_price_per_day,"['automatic_car', 'model_key_', 'has_getaround_connect', 'has_gps', 'car_type', 'private_parking_available', 'has_air_conditioning', 'has_speed_regulator', 'paint_color_', 'fuel_', 'winter_tires']","['engine_power', 'mileage']",0,4,[13.38414607 13.50631058 13.52955313 13.82575538],[0.7817869  0.7607215  0.79709168 0.77644007],[0.12923187 0.13611814 0.12490717 0.13572888],[0.08834533 0.09151395 0.08810545 0.09412154],[0.78205143 0.76080109 0.79756235 0.77682632]
